,Resumo descritivo,Denominação,Número de registro,Classificação,Título,Local de produção,Data de produção,Material/Técnica,Estado de conservação,Dimensões - diâmetro,Dimensões - peso,ACERVO,URL,TAINACAN_COLECTION_ID
10,"Anverso: Ao centro, as armas do Reino com sete castelos na orla, entre cinco arcos duplos lobulados, cujas terminais são em aneletes. Em volta quatro aneletes. Legenda + IOHANES : II : R : P : ET : A : D : GVINEE Reverso: Ao centro, a cruz de São Jorge, dentro de um círculo ogival duplo cujas terminais são em aneletes. Em volta oito pontos. Legenda + IOHANES : II : R : P : ET : A : D : GVINEE",Moeda,41143,03 Objetos Pecuniários,Cruzado,(?),1495-1521,Ouro,Bom,"22,2","3,49",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
11,"Anverso: Ao centro, as armas do Reino com sete castelos na orla, entre cinco arcos duplos lobulados. Em volta seis pontos Legenda + IOANIS : II : R : P : ET : A : D : GVINEE Reverso: Ao centro, a cruz de São Jorge, dentro de um círculo ogival duplo cujas terminais são em aneletes. Tendo em volta oito pontos Legenda + IOANIS : II : R : P : ET : A : D : GVINEE :",Moeda,41144,03 Objetos Pecuniários,Cruzado,(?),1495-1521,Ouro,Bom,22,"3,49",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
12,"Anverso: Ao centro, as armas do Reino com sete castelos na orla, entre cinco arcos duplos lobulados, cujas terminais são em aneletes. Em volta oito aneletes Legenda + IOHANES : II : R : P : ET : A : D : GVINE Reverso: Ao centro, a cruz de São Jorge, dentro de um círculo ogival duplo cujas terminais são em aneletes. Legenda + IOANIS : SECVNDO : DEI : GRACA",Moeda,41145,03 Objetos Pecuniários,Cruzado,(?),1495-1521,Ouro,Bom,"22,6","3,52",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
13,"Anverso: Ao centro, as armas do Reino, com sete castelos, entre cinco arcos duplos lobulados, cujas terminais são em aneletes. Legenda + IOAES : SECVNDVS : D : G : REGIS Reverso: Ao centro, a cruz de São Jorge, dentro de um círculo ogival duplo cujas terminais são em aneletes. Legenda + IOANIS : SECVNDVS : DEI : GRACIA",Moeda,41146,03 Objetos Pecuniários,Cruzado,Lisboa,1495-1521,Ouro,Bom,"22,7","3,51",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
14,"Anverso: Ao centro, as armas do Reino, com sete castelos na orla, entre cinco arcos duplos, lobulados cujas terminais são em aneletes. Legenda + IOHANES : II : R : P : ET: A : D : GVIN Reverso: Ao centro, a cruz de São Jorge, dentro de um círculo ogival duplo cujas terminais são em aneletes. Legenda + IOHANES : II : R : P : ET : A : D : GVINE",Moeda,41147,03 Objetos Pecuniários,Cruzado,(?),1495-1521,Ouro,Bom,"22,2","3,47",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
15,"Anverso: Ao centro, as armas do Reino, coroadas e ornamentadas lateralmente. Legenda + IOAHNES : I. I. R. PORTVGALIE : ET : A : D : GVINE Reverso: ao centro, o rei sentado no trono, cortanso a legenda, com manto e coroa, segurando a espada ao alto. Legenda + IVSTVS : VT : PALMA : FLOREBIT : .",[Moeda?],41148,03 Objetos Pecuniários,Justo,Lisboa,1495-1521,Ouro,Bom,"31,6","3,1",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
16,"Anverso: Ao centro, as armas do Reino, entre dois aneletes. Legenda + IOANIS : S : SECVNDVS : DEIGRAC Reverso: Ao centro, dentro de quatro arcos lobulados duplos, cantonados por aneletes, uma espada segura na lâmina por uma mão. Legenda : IOHANES : II : R : P ET : A : D : GVNIEE",Moeda,41149,03 Objetos Pecuniários,Espadim,Lisboa,1495-1521,Ouro,Bom,22,"2,96",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
17,"Anverso: Ao centro, as armas do Reino, entre dois aneletes. Legenda + IOHANES : I:I : R. P : ET : A : D : GVINE Reverso: Ao centro, dentro de quatro arcos lobulados duplos, cantonados por aneletes, uma espada segura na lâmina por uma mão. Legenda IOHNES : II : R P : ET : A : D : GVNIE",Moeda,41150,03 Objetos Pecuniários,Espadim,(?),1495-1521,Ouro,Bom,"21,6","2,52",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
18,"Anverso: Ao centro, as armas do Reino, dentro de cinco arcos lobulados duplos. Legenda + EMANVEL : P : R : P : ET : A : D : GVIN Reverso: Ao centro, a cruz de S. Jorge, entre quatro arcos lobulados duplos ligados por angulos agudos e aneletes na junção. No canto superior direito da cruz, uma estrela. Legenda + EMANVEL : P : R : PET : A : D : GVINEE",Moeda,41054,03 Objetos Pecuniários,Cruzado,Lisboa,1495-1521,Ouro,Bom,"21,7","3,49",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
19,"Anverso: Ao centro, as armas do Reino, dentro de cinco arcos lobulados duplos. Legenda + EMANVEL : P : R : P : ET : A : D : GVINEE. Reverso: Ao centro, a cruz de S. Jorge, entre quatro arcos lobulados duplos ligados por angulos agudos e aneletes na junção. No canto inferior esquerdo da cruz, uma estrela. Legenda + EMANVEL : P : R : P : ET : A : D : GVIN:",Moeda,41055,03 Objetos Pecuniários,Cruzado,(?),1495-1521,Ouro,Bom,"21,7","3,54",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
20,"Anverso: Ao centro, as armas do Reino, dentro de cinco arcos lobulados duplos. Legenda + I : EMANVEL : R : P : ET : A : D : GVINEE Reverso: Ao centro, a cruz de S. Jorge, entre quatro arcos lobulados duplos ligados por angulos agudos e aneletes na junção. No braço superior da cruz, três pontos. Nos cantos superiores, duas estrelas. Em volta, oito pontos. Legenda +: I : EMANVEL. R. P. ET. A : D : GVINE .",Moeda,41056,03 Objetos Pecuniários,Cruzado,(?),1495-1521,Ouro,Bom,"22,1","3,51",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
21,"Anverso: Ao centro, as armas do Reino, dentro de cinco arcos lobulados duplos. Legenda + EMANVEL : P : R : P : ET : A : D : GVINEE. Reverso: Ao centro, a cruz de S. Jorge, entre quatro arcos lobulados duplos ligados por angulos agudos e aneletes na junção. Ao centro da mesma, uma estrela. Em volta, oito pontos. Legenda + EMANVEL : P : R : P : ET : A : D : GVINEE:",Moeda,41057,03 Objetos Pecuniários,Cruzado,(?),1495-1521,Ouro,Bom,"22,4","3,56",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
22,"Anverso: Ao centro, as armas do Reino, entre dois aneletes. Legenda + I : EMANVEL : R : PORTVGALIE : AL :C. VL. IN : A. D : G /C. N : C. ETHIOPIE : ARABIE : PERSIE : I :. Reverso: Ao centro, cruz de Cristo, com três pontos sobre o braço superior. Legenda: : IN : HOC : : SIGNO : : VINCES :",Moeda,41053,03 Objetos Pecuniários,Português,Lisboa,1495-1521,Ouro,Bom,"35,8",35,mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
23,"Anverso: Ao centro, as armas do Reino, entre dois aneletes. Legenda ao redor: IOANES : R. PVRTVGSLES. AL : G. VL: INA /[ :NC. ETHIOPIE : ARABIE : PERSIE : I : ]. Reverso: Ao centro, cruz de Cristo, com três pontos sobre o braço superior. Legenda: : IN : HOC : : SIGNO : : VINCES :",Moeda,35441,03 Objetos Pecuniários,Português,(?),1521-1557,Ouro,Bom,,,mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
24,"Anverso: Ao centro, as armas do Reino, entre dois aneletes. Legenda + IOANES. 3. R. P. ORTVGALIE : AL :C : VL : IN : A : D : G / :NC. [ ETHIOPIE : ARABIE : PERSIE : I : ]. Reverso: Ao centro, cruz de Cristo, rodeada por cordao de pérola. Legenda: : IN : HOC. : SIGNO : : VINCES :",Moeda,35442,03 Objetos Pecuniários,Português,(?),1521-1557,Ouro,Bom,,,mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
25,"Anverso: Ao centro, armas do reino. Legenda: + IOANES : III : [P]ORTVGALE. Reverso: Ao centro, o Calvário, cortando a legenda na parte inferior com um ponto no braço esquerdo e direito (?). Legenda: : IN : HOC : SIG___NO : VINCES .",Moeda,35454,03 Objetos Pecuniários,Cruzado calvário,[Porto?],1521-1557,Ouro,Bom,"23,1","3,52",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
26,"Anverso: Ao centro, armas do reino ladeadas pelas letras P e R encimadas por tês pontos. Legenda: + IOANES ⠇ 3 ⠇R ⠇ PORTVGALIE ⠇ ALGA. Reverso: Ao centro, o Calvário, cortando a legenda na parte inferior. Legenda: : IN : HOCE CIGNO : [V] .",Moeda,35455,03 Objetos Pecuniários,Cruzado calvário,[Lisboa?],1521-1557,Ouro,Bom,"23,7","3,45",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
27,"Anverso: Ao centro, armas do reino. Legenda: + IOA : III : POR : ET : AL : RE. Reverso: Ao centro, o Calvário, cortando a legenda na parte inferior. Legenda: + IN : HOC : SIG ___ NO : VINCES .",Moeda,35456,03 Objetos Pecuniários,Cruzado calvário,Lisboa,1521-1557,Ouro,Bom,"23,8","3,51",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
28,"Anverso: Ao centro, armas do reino. Legenda: + IOA : III : POR : ET : AL : R : D : G. Reverso: Ao centro, o Calvário, cortando a legenda na parte inferior. Legenda: + IN. HOC. SIG ___ NO : VINCES .",Moeda,35457,03 Objetos Pecuniários,Cruzado calvário,Lisboa,1521-1557,Ouro,Bom,24,"3,5",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
29,"Anverso: Ao centro, armas do reino ladeadas pelas letras R e L. Legenda: + IOANES. III. R. PORTVGALI. Reverso: Ao centro, o Calvário, cortando a legenda na parte inferior. Legenda: + IN. HOC. SIG ___ [N]O. VINCES .",Moeda,35458,03 Objetos Pecuniários,Cruzado calvário,Lisboa,1521-1557,Ouro,Bom,24,"3,48",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
30,"Anverso: Ao centro, armas do reino. Legenda: + IOANES : Ẏ III. Ẏ. R Ẏ PORTVGALIE [?] AL. Reverso: Ao centro, a cruz de S. Jorge, com três (?) pontos no topo do braço superior. Legenda: Ẏ. IN Ẏ. HOC. Ẏ. SIGNO. Ẏ. VINCES .",Moeda,35449,03 Objetos Pecuniários,Cruzado,Lisboa,1521-1557,Ouro,Bom,27,"3,48",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
31,"Anverso: Ao centro, armas do reino. Legenda: + IOANES : Ẏ III. Ẏ. R Ẏ PORTVGALI. Reverso: Ao centro, a cruz de S. Jorge, com três pontos no topo do braço superior. Legenda: [?]. IN Ẏ. HOC. Ẏ. SIGNO. Ẏ. VINCES",Moeda,35450,03 Objetos Pecuniários,Cruzado,Lisboa,1521-1557,Ouro,Bom,"23,5","3,38",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
32,"Anverso: Ao centro, armas do reino ladeadas pelas letras R e L. Legenda: Ẏ IOANES. Ẏ. III. Ẏ. R. Ẏ. PORT Reverso: Ao centro, a cruz de S. Jorge, com um ponto ao centro e três pontos no topo do braço superior. Legenda:. Ẏ. IN. Ẏ. HOC. Ẏ. SIGNO. Ẏ. VINC",Moeda,35451,03 Objetos Pecuniários,Cruzado,Lisboa,1521-1557,Ouro,Bom,"22,9","3,46",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
33,"Anverso: Ao centro, armas do reino ladeadas pelas letras R e L. Sobre a letra R três pontos, sobre a letra L apenas um ponto. Legenda: Ẏ. IOANES. Ẏ. III. Ẏ. R. Ẏ. PORT Reverso: Ao centro, a cruz de S. Jorge, com um ponto ao centro e três pontos no topo do braço superior. Legenda:. Ẏ. IN. Ẏ. HOC. Ẏ. SIGNO. Ẏ. VIN",Moeda,35452,03 Objetos Pecuniários,Cruzado,Lisboa,1521-1557,Ouro,Bom,"22,9","3,55",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
34,"Anverso: Ao centro, armas do reino ladeadas pelas letras R e L. Sobre as letras R e L três pontos. Legenda: Ẏ. IOANES. Ẏ. III. Ẏ. R. Ẏ. PORTV Reverso: Ao centro, a cruz de S. Jorge, com um ponto ao centro e três pontos no topo do braço superior. Legenda:. Ẏ. IN. Ẏ. HOC. Ẏ. SIGNO. Ẏ. VINCES .",Moeda,35453,03 Objetos Pecuniários,Cruzado,Lisboa,1521-1557,Ouro,Bom,"23,5","3,58",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
35,"Anverso: Ao centro, armas do Reino cuja coroa corta a legenda. Legenda: IOANNES : III : REX : PORTV : ET : ALG : Reverso: Ao centro, a imagem de S. Vicente, com os seus atributos, de pé, voltada à direita, entre duas estrelas. Legenda: ZELATORFIDEI VSQUEADMORTEM",Moeda,35443,03 Objetos Pecuniários,São Vicente,Lisboa,1521-1557,Ouro,Bom,"29,8","7,5",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
36,"Anverso: Ao centro, armas do Reino cuja coroa corta a legenda. Legenda: IOANNES : III : REX : PORTV : ET : AL. Reverso: Ao centro, a imagem de S. Vicente, com os seus atributos, de pé, voltada à direita, entre duas estrelas. Legenda: ZELATORFIDEI VSQVEADMORTEM",Moeda,35444,03 Objetos Pecuniários,São Vicente,Lisboa,1521-1557,Ouro,Bom,30,"7,41",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
37,"Anverso: Ao centro, armas do Reino, cuja coroa corta a legenda. Legenda: IOANES : III : R : PORTV Reverso: Ao centro, a imagem de S. Vicente, com os seus atributos, de pé, voltada à direita. Legenda:. Ẏ. ZELATORFIDEI VS[QV]EA",Moeda,35445,03 Objetos Pecuniários,Meio São Vicente,Lisboa,1521-1557,Ouro,Bom,"23,6","3,76",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
38,"Anverso: Ao centro, armas do Reino, cuja coroa corta a legenda. Legenda: IOANNES : III : REX. PORTV Reverso: Ao centro, a imagem de S. Vicente, com os seus atributos, de pé, voltada à direita. Legenda: ZELATORFIDEI VSQVEADMORT",Moeda,35446,03 Objetos Pecuniários,Meio São Vicente,[Porto?],1521-1557,Ouro,Bom,25,"3,71",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
39,"Anverso: Ao centro, armas do Reino. Ladeadas pelas letras P e R. Sobre as letras R e L três pontos. Legenda: + IOANES. Ẏ. III ⠇ R. Ẏ. PORTVGALI Reverso: Ao centro, a imagem de S. Vicente, com os seus atributos, de pé, voltada à direita. Legenda: + ZELATOR : FIDEI VS : QVEAD",Moeda,35447,03 Objetos Pecuniários,Meio São Vicente,Porto,1521-1557,Ouro,Bom,"24,6","3,78",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
40,"Anverso: Ao centro, armas do Reino. Ladeadas pelas letras P e O. Legenda: + IOANES : III : PORTV Reverso: Ao centro, a imagem de S. Vicente, com os seus atributos, de pé, voltada à direita. Legenda: + ZELATOR : FIDEI : VS: QADM",Moeda,35448,03 Objetos Pecuniários,Meio São Vicente,Porto,1521-1557,Ouro,Bom,"25,3","3,79",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
41,"Anverso: Ao centro, armas do Reino. Legenda: + SEBASTIANVS : I : REX : PORTUGALLIAE ET. Reverso: Ao centro, a imagem de S. Vicente, segurando a caravela e a palma, ladeada por duas estrelas. Legenda: + ZELATOR : FIDEI :VS QVE. ADMORTEM",Moeda,41211,03 Objetos Pecuniários,São Vicente,Lisboa,1557-1578,Ouro,Bom,"31,2","7,5",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
42,"Anverso: Ao centro, armas do Reino, coroadas, ladeadas por duas setas, entre as letras L e G. Legenda: + SEBASTIANVS : I : REX : PORTUGALLIAE ET. Reverso: Ao centro, a imagem de S. Vicente, segurando a caravela e a palma, ladeada por duas estrelas. Legenda: + ZELATOR : FIDEIVS QVE : ADMORTEM .",Moeda,41212,03 Objetos Pecuniários,São Vicente,Lisboa,1557-1578,Ouro,Bom,"31,1","7,58",mhn_-_moedas-de-ouro,https://mhn.acervos.museus.gov.br/wp-json/tainacan/v2/collection/286327/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,286327
